Description,,Summary Amt.,
6/8/16,LUCKY #780.SUN 06/08 #000502485 PURCHASE LUCKY #780.SUNNYV SUNNYVALE CA,-4.99,5206.69
6/8/16,ATT DES:Payment ID:XXXXX0003MYW9H INDN:Bank of America CO ID:XXXXX31005 WEB,-204.9,5001.79
6/9/16,NEW INDIA BAZA 06/09 #000453642 PURCHASE NEW INDIA BAZAR MILPITAS CA,-22.66,4979.13
6/13/16,Wal-Mart Super 06/11 #000535034 REFUND Wal-Mart Super Ce MILPITAS CA,6.98,4986.11
6/13/16,CHECKCARD 0610 CHEVRON 0306145 SUNNYVALE CA 24692166163000696073456,-5.52,4980.59
6/13/16,WAL-MART Wal- 06/10 #000427705 PURCHASE WAL-MART Wal-Mar MILPITAS CA,-7.52,4973.07
6/13/16,CVS/PHARMACY # 06/11 #000733785 PURCHASE CVS/PHARMACY #09 Sunnyvale CA,-36.2,4936.87
6/13/16,PATEL BROTHERS 06/11 #000285146 PURCHASE PATEL BROTHERS SANTA CLARA CA,-5.99,4930.88
6/13/16,WALGREENS 2105 06/12 #000930584 PURCHASE WALGREENS 2105 MO SAN JOSE CA,-33.8,4897.08
6/13/16,SPROUTS FARMER 06/12 #000020147 PURCHASE SPROUTS FARMERS M SAN JOSE CA,-55.98,4841.1
6/13/16,TESORO # 68203 06/12 #000939354 PURCHASE TESORO # 68203 SAN JOSE CA,-45.38,4795.72
6/13/16,CHECKCARD 0612 SMASHBURGER #1455 SAN JOSE CA 24224436165104012102254,-3.9,4791.82
6/14/16,CHECKCARD 0611 INDIA CASH & CARRY SUNNYVALE CA 24013396164001583035032,-14.96,4776.86
6/14/16,CHECKCARD 0612 SUBWAY 00498253 PALO ALTO CA 24164076165255195784189,-7.99,4768.87
6/14/16,CHECKCARD 0612 CENTURY THEATRES 477 SAN JOSE CA 24692166165000903358458,-12,4756.87
6/14/16,CHECKCARD 0613 CHROMATIC COFFEE SANTA CLARA CA 24269796165100792880062,-7.04,4749.83
6/14/16,CHECKCARD 0613 FEDEXOFFICE 00003426 SAN JOSE CA 24164076165069027941911,-3.52,4746.31
6/14/16,WAL-MART Wal- 06/13 #000427717 PURCHASE WAL-MART Wal-Mar MILPITAS CA,-42.7,4703.61
